35.223.152.105,engine.ocp-on-ovirt.gcp.devcluster.openshift.com
34.67.196.103,api.ocp-on-ovirt-00.gcp.devcluster.openshift.com
35.232.120.161,api.ocp-on-ovirt-01.gcp.devcluster.openshift.com
35.238.23.46,api.ocp-on-ovirt-02.gcp.devcluster.openshift.com
35.239.212.153,api.ocp-on-ovirt-03.gcp.devcluster.openshift.com
35.223.117.18,api.ocp-on-ovirt-04.gcp.devcluster.openshift.com
104.197.211.67,api.ocp-on-ovirt-05.gcp.devcluster.openshift.com
35.188.80.5,api.ocp-on-ovirt-06.gcp.devcluster.openshift.com
35.238.219.16,api.ocp-on-ovirt-07.gcp.devcluster.openshift.com
35.226.234.198,api.ocp-on-ovirt-08.gcp.devcluster.openshift.com
35.192.178.189,api.ocp-on-ovirt-09.gcp.devcluster.openshift.com
35.225.156.140,api.ocp-on-ovirt-10.gcp.devcluster.openshift.com
